id_Mat,name
MAT-14015,INTRO. A LAS MATEM.
MAT-14100,"CALCULO DIF. E INT., I"
MAT-14101,"CALCULO DIF. E INT., II"
MAT-14102,"CALCULO DIF. E INT., III"
MAT-14200,GEOMETR. ANALIT. (GEOM ANAL I)
MAT-14201,"ALGEB. LINEAL, I (GEO ANA. II)"
MAT-14300,"ALGEBRA SUPERIOR, I"
MAT-14301,"ALGEBRA SUPERIOR, II"
MAT-14310,"ALG. LINEAL, II (ALG. LINEAL)"
MAT-14390,MATEMATICA COMPUTACIONAL
MAT-14400,"CALCULO  NUMERICO,I"
MAT-22600,MATEMATICAS FINANCIERAS I
MAT-24110,"ANALISIS MATEMATICO, I"
MAT-24111,ANALISIS MATEMATICO II
MAT-24120,VARIABLE COMPLEJA
MAT-24210,"SISTEMAS DINAMICOS,I"
MAT-24211,"SISTEMAS DINAMICOS,II"
MAT-24220,ECUACIONES DIF. PARCIALES (OP)
MAT-24320,ALGEBRA MODERNA
MAT-24330,TEMAS SELECTOS DE ALGEBRA I
MAT-24410,PROGRAMACION LINEAL
MAT-24430,"ANALISIS APLICADO, I"
MAT-24431,"OPTIMIZACION NUMERICA, I"
MAT-24500,"INVESTIGACION DE OPER.,I"
MAT-24630,MATEM. APLICADAS A LA ECONOMIA
SDI-11120,ELEMENTOS DE FISICA
SDI-11221,ELEMENTOS DE ELECTRONICA
SDI-11322,CIRCUITOS LOGICOS
SDI-11911,ROBOTICA
SDI-12515,SEÑALES Y SISTEMAS
SDI-12626,SISTEMAS DE COMUNICACIONES
SDI-12726,COMUNICACIONES DIGITALES
SDI-12761,ANTENAS Y RADIACION
SDI-13760,REDES DE COMPUTADORAS
SDI-13789,REDES CONVERGENTES
SDI-14105,INTRODUCCION A LA INGENIERIA
SDI-15816,SEMINARIO DE TITULACION
SDI-15888,SEMINARIO DE INVESTIGACION
SDI-15916,SEMINARIO DE TITULACION I
SDI-21911,TEMAS SELECTOS DE ROBOTICA
SDI-24810,SISTS.DE COMERCIO ELECTRONICO
SDI-25916,SISTEMAS EMPRESARIALES
VIE-20001,MATERIA 1
VIE-20002,MATERIA 2
VIE-20003,MATERIA 3
